iter	Passed	Remaining
0	160	160115
1	164	81860
2	177	59075
3	186	46452
4	191	38155
5	206	34245
6	210	29880
7	218	27142
8	223	24618
9	225	22322
10	229	20633
11	234	19304
12	236	17953
13	238	16784
14	240	15764
15	246	15178
16	248	14365
17	249	13627
18	251	12962
19	252	12363
20	253	11826
21	255	11337
22	257	10943
23	261	10638
24	263	10257
25	264	9899
26	265	9568
27	266	9260
28	268	8974
29	269	8706
30	270	8453
31	276	8360
32	277	8145
33	279	7939
34	281	7753
35	282	7575
36	284	7406
37	289	7341
38	291	7185
39	293	7034
40	294	6891
41	297	6777
42	298	6648
43	300	6535
44	303	6437
45	304	6325
46	306	6217
47	308	6112
48	309	6009
49	311	5925
50	317	5899
51	318	5807
52	319	5717
53	321	5626
54	322	5539
55	323	5455
56	324	5373
57	326	5294
58	329	5257
59	332	5203
60	333	5134
61	335	5068
62	336	5008
63	338	4946
64	339	4883
65	340	4820
66	341	4759
67	344	4724
68	346	4673
69	348	4625
70	349	4575
71	350	4521
72	351	4468
73	352	4416
74	354	4368
75	355	4319
76	356	4273
77	358	4239
78	360	4198
79	362	4165
80	363	4126
81	364	4084
82	365	4036
83	366	3995
84	367	3955
85	368	3914
86	369	3875
87	370	3837
88	371	3799
89	373	3775
90	374	3743
91	376	3718
92	378	3688
93	379	3654
94	380	3621
95	381	3587
96	381	3555
97	382	3524
98	383	3492
99	384	3462
100	385	3433
101	388	3417
102	389	3392
103	391	3369
104	392	3347
105	393	3321
106	394	3294
107	395	3268
108	396	3241
109	397	3216
110	398	3192
111	399	3167
112	400	3143
113	401	3122
114	403	3105
115	404	3085
116	405	3063
117	407	3044
118	408	3022
119	409	3000
120	410	2979
121	410	2956
122	411	2936
123	412	2916
124	413	2895
125	414	2875
126	415	2854
127	416	2836
128	418	2826
129	420	2812
130	421	2795
131	423	2781
132	425	2772
133	426	2757
134	428	2744
135	429	2730
136	430	2714
137	433	2707
138	434	2693
139	436	2680
140	437	2665
141	438	2647
142	439	2631
143	440	2616
144	441	2600
145	442	2585
146	442	2570
147	444	2556
148	444	2541
149	445	2526
150	447	2516
151	448	2504
152	450	2494
153	451	2480
154	452	2466
155	453	2453
156	454	2439
157	455	2425
158	456	2413
159	457	2400
160	457	2386
161	458	2372
162	459	2360
163	460	2347
164	461	2334
165	463	2327
166	464	2318
167	465	2307
168	466	2295
169	467	2283
170	468	2272
171	469	2261
172	470	2250
173	471	2238
174	472	2227
175	473	2216
176	474	2204
177	475	2193
178	475	2182
179	478	2181
180	481	2177
181	482	2168
182	483	2158
183	484	2148
184	485	2137
185	486	2127
186	486	2117
187	487	2107
188	489	2098
189	490	2089
190	490	2079
191	492	2071
192	494	2069
193	496	2062
194	497	2054
195	498	2046
196	500	2039
197	501	2032
198	502	2023
199	503	2014
200	504	2006
201	505	1997
202	506	1988
203	510	1993
204	512	1988
205	514	1981
206	515	1974
207	516	1967
208	517	1959
209	518	1951
210	519	1943
211	520	1935
212	521	1928
213	527	1937
